,Factor,Nodo,Valor,Fecha
142,IB1,6MO,0.502307547,20180906
143,IB1,9MO,0.638028571,20180906
144,IPC,10Y,3.23810829,20180906
145,IPC,15Y,3.836423636,20180906
146,IPC,18MO,1.955225899,20180906
147,IPC,1MO,1.291217241,20180906
148,IPC,1Y,1.721508917,20180906
149,IPC,20Y,4.05584375,20180906
150,IPC,25Y,4.010327778,20180906
151,IPC,2M,1.342872581,20180906
152,IPC,2Y,2.193541279,20180906
153,IPC,3MO,1.459202083,20180906
154,IPC,3Y,2.308316129,20180906
155,IPC,4MO,1.554530435,20180906
156,IPC,4Y,2.590909697,20180906
157,IPC,5Y,2.722466071,20180906
158,IPC,6MO,1.638866667,20180906
159,IPC,9MO,1.787596552,20180906
160,FS,10Y,7.071104167,20180907
161,FS,15Y,5.09425,20180907
162,FS,18MO,5.183352792,20180907
163,FS,1MO,4.533106029,20180907
164,FS,1Y,5.0001727,20180907
165,FS,2M,4.62427381,20180907
166,FS,2Y,5.685662551,20180907
167,FS,3MO,4.552078385,20180907
168,FS,3Y,6.165490099,20180907
169,FS,4MO,4.633453737,20180907
170,FS,4Y,6.448644068,20180907
171,FS,5Y,6.62912069,20180907
172,FS,6MO,4.777250969,20180907
173,FS,9MO,4.834182635,20180907
174,IB1,18MO,0.881114741,20180907
175,IB1,1MO,0.251291765,20180907
176,IB1,1Y,0.74815336,20180907
177,IB1,2M,0.435684,20180907
178,IB1,2Y,0.995894161,20180907
179,IB1,3MO,0.454942466,20180907
180,IB1,3Y,1.091808696,20180907
181,IB1,4MO,0.407407792,20180907
182,IB1,6MO,0.509107009,20180907
183,IB1,9MO,0.632607229,20180907
184,IPC,10Y,3.290460622,20180907
185,IPC,15Y,3.895847273,20180907
186,IPC,18MO,1.966282796,20180907
187,IPC,1MO,1.289373333,20180907
188,IPC,1Y,1.721173016,20180907
189,IPC,20Y,4.12665625,20180907
190,IPC,25Y,4.08685,20180907
191,IPC,2M,1.347516129,20180907
192,IPC,2Y,2.124032558,20180907
193,IPC,3MO,1.463667347,20180907
194,IPC,3Y,2.329665217,20180907
195,IPC,4MO,1.560895652,20180907
196,IPC,4Y,2.625164458,20180907
197,IPC,5Y,2.718661818,20180907
198,IPC,6MO,1.641971034,20180907
199,IPC,9MO,1.807360714,20180907
200,FS,10Y,7.015645833,20180910
201,FS,15Y,5.094,20180910
202,FS,18MO,5.192951654,20180910
203,FS,1MO,4.460799,20180910
204,FS,1Y,5.002345274,20180910
205,FS,2M,4.59032794,20180910
206,FS,2Y,5.6731625,20180910
207,FS,3MO,4.533572335,20180910
208,FS,3Y,6.168361386,20180910
209,FS,4MO,4.642527675,20180910
210,FS,4Y,6.468762712,20180910
211,FS,5Y,6.641192982,20180910
212,FS,6MO,4.791091429,20180910
213,FS,9MO,4.837225519,20180910
214,IB1,18MO,0.906484556,20180910
215,IB1,1MO,0.2856075,20180910
216,IB1,1Y,0.757774082,20180910
217,IB1,2M,0.4746,20180910
218,IB1,2Y,1.020598473,20180910
219,IB1,3MO,0.498832,20180910
220,IB1,3Y,1.116495833,20180910
221,IB1,4MO,0.451429333,20180910
222,IB1,6MO,0.547267742,20180910
223,IB1,9MO,0.629477778,20180910
224,IPC,10Y,3.329265803,20180910
225,IPC,15Y,3.921721818,20180910
226,IPC,18MO,1.908540214,20180910
227,IPC,1MO,1.290809375,20180910
228,IPC,1Y,1.745948607,20180910
229,IPC,20Y,4.13789375,20180910
230,IPC,25Y,4.098683333,20180910
231,IPC,2M,1.357842857,20180910
232,IPC,2Y,2.123515517,20180910
233,IPC,3MO,1.475021739,20180910
234,IPC,3Y,2.368991304,20180910
235,IPC,4MO,1.610216,20180910
236,IPC,4Y,2.662309756,20180910
237,IPC,5Y,2.74172,20180910
238,IPC,6MO,1.660707586,20180910
239,IPC,9MO,1.772876923,20180910
240,FS,10Y,7.027875,20180911
241,FS,15Y,5.103,20180911
242,FS,18MO,5.181450128,20180911
243,FS,1MO,4.571703777,20180911
244,FS,1Y,4.995496562,20180911
245,FS,2M,4.612586207,20180911
246,FS,2Y,5.661441667,20180911
247,FS,3MO,4.540749681,20180911
248,FS,3Y,6.198940594,20180911
249,FS,4MO,4.690458633,20180911
250,FS,4Y,6.450991525,20180911
251,FS,5Y,6.585736842,20180911
252,FS,6MO,4.820475122,20180911
253,FS,9MO,4.840785915,20180911
254,IB1,18MO,0.907335632,20180911
255,IB1,1MO,0.334709524,20180911
256,IB1,1Y,0.757264694,20180911
257,IB1,2M,0.518436111,20180911
258,IB1,2Y,1.019117424,20180911
259,IB1,3MO,0.53719863,20180911
260,IB1,3Y,1.110679167,20180911
261,IB1,4MO,0.491611538,20180911
262,IB1,6MO,0.57211814,20180911
263,IB1,9MO,0.647282143,20180911
264,IPC,10Y,3.304917617,20180911
265,IPC,15Y,3.915234545,20180911
266,IPC,18MO,1.853820357,20180911
267,IPC,1MO,1.231880645,20180911
268,IPC,1Y,1.693154294,20180911
269,IPC,20Y,4.14623125,20180911
270,IPC,25Y,4.123572222,20180911
271,IPC,2M,1.363442188,20180911
272,IPC,2Y,2.11415977,20180911
273,IPC,3MO,1.454162791,20180911
274,IPC,3Y,2.325188043,20180911
275,IPC,4MO,1.563844444,20180911
276,IPC,4Y,2.611069697,20180911
277,IPC,5Y,2.710598148,20180911
278,IPC,6MO,1.623851049,20180911
279,IPC,9MO,1.734526923,20180911
280,FS,10Y,7.038944444,20180912
281,FS,15Y,5.089,20180912
282,FS,18MO,5.172143223,20180912
283,FS,1MO,4.591630631,20180912
284,FS,1Y,4.990620399,20180912
285,FS,2M,4.606957731,20180912
286,FS,2Y,5.687590717,20180912
287,FS,3MO,4.583506866,20180912
288,FS,3Y,6.167920398,20180912
289,FS,4MO,4.727723592,20180912
290,FS,4Y,6.48920339,20180912
291,FS,5Y,6.589438596,20180912
292,FS,6MO,4.842825875,20180912
293,FS,9MO,4.852911846,20180912
294,IB1,18MO,0.907055639,20180912
295,IB1,1MO,0.353542857,20180912
296,IB1,1Y,0.753601643,20180912
297,IB1,2M,0.529916901,20180912
298,IB1,2Y,0.983825581,20180912
299,IB1,3MO,0.515495652,20180912
300,IB1,3Y,1.108683333,20180912
301,IB1,4MO,0.497969136,20180912
302,IB1,6MO,0.570376056,20180912
303,IB1,9MO,0.642618182,20180912
304,IPC,10Y,3.254380311,20180912
305,IPC,15Y,3.887332727,20180912
306,IPC,18MO,1.840809025,20180912
307,IPC,1MO,1.26405,20180912
308,IPC,1Y,1.683440663,20180912
309,IPC,20Y,4.11756875,20180912
310,IPC,25Y,4.104983333,20180912
311,IPC,2M,1.318468182,20180912
312,IPC,2Y,2.109772571,20180912
313,IPC,3MO,1.462545238,20180912
314,IPC,3Y,2.305904348,20180912
315,IPC,4MO,1.576532143,20180912
316,IPC,4Y,2.57783253,20180912
317,IPC,5Y,2.714884906,20180912
318,IPC,6MO,1.625420979,20180912
319,IPC,9MO,1.7469875,20180912
320,FS,10Y,7.041902098,20180913
321,FS,15Y,5.05425,20180913
322,FS,18MO,5.169241645,20180913
323,FS,1MO,4.498345679,20180913
324,FS,1Y,4.993009924,20180913
325,FS,2M,4.608914703,20180913
326,FS,2Y,5.675324895,20180913
327,FS,3MO,4.585881797,20180913
328,FS,3Y,6.152014925,20180913
329,FS,4MO,4.710169643,20180913
330,FS,4Y,6.476957983,20180913
331,FS,5Y,6.582877193,20180913
332,FS,6MO,4.822230469,20180913
333,FS,9MO,4.842084469,20180913
334,IB1,18MO,0.860799631,20180913
335,IB1,1MO,0.360418519,20180913
336,IB1,1Y,0.718120619,20180913
337,IB1,2M,0.529236986,20180913
338,IB1,2Y,0.969307031,20180913
339,IB1,3MO,0.508304348,20180913
340,IB1,3Y,1.030358333,20180913
341,IB1,4MO,0.49313625,20180913
342,IB1,6MO,0.551424171,20180913
343,IB1,9MO,0.621043956,20180913
344,IPC,10Y,3.232596392,20180913
345,IPC,15Y,3.878405556,20180913
346,IPC,18MO,1.838616,20180913
347,IPC,1MO,1.320915152,20180913
348,IPC,1Y,1.679735522,20180913
349,IPC,20Y,4.121841176,20180913
350,IPC,25Y,4.104633333,20180913
351,IPC,2M,1.333420635,20180913
352,IPC,2Y,2.101757062,20180913
353,IPC,3MO,1.496359524,20180913
354,IPC,3Y,2.26536129,20180913
355,IPC,4MO,1.592066667,20180913
356,IPC,4Y,2.564553892,20180913
357,IPC,5Y,2.699352941,20180913
358,IPC,6MO,1.628134043,20180913
359,IPC,9MO,1.746308,20180913
360,FS,10Y,6.970447552,20180914
361,FS,15Y,4.92625,20180914
362,FS,18MO,5.164574359,20180914
363,FS,1MO,4.481409283,20180914
364,FS,1Y,4.964033384,20180914
365,FS,2M,4.589298035,20180914
366,FS,2Y,5.666544681,20180914
367,FS,3MO,4.577945349,20180914
368,FS,3Y,6.173557214,20180914
369,FS,4MO,4.668357274,20180914
370,FS,4Y,6.47912605,20180914
371,FS,5Y,6.558767857,20180914
372,FS,6MO,4.770788462,20180914
373,FS,9MO,4.790848315,20180914
374,IB1,18MO,0.871209594,20180914
375,IB1,1MO,0.299158974,20180914
376,IB1,1Y,0.693626446,20180914
377,IB1,2M,0.232086111,20180914
378,IB1,2Y,0.996680916,20180914
379,IB1,3MO,0.446756757,20180914
380,IB1,3Y,1.071966667,20180914
381,IB1,4MO,0.467024675,20180914
382,IB1,6MO,0.539840476,20180914
383,IB1,9MO,0.581856842,20180914
384,IPC,10Y,3.230643299,20180914
385,IPC,15Y,3.868503704,20180914
386,IPC,18MO,1.822024727,20180914
387,IPC,1MO,1.264157576,20180914
388,IPC,1Y,1.638849112,20180914
389,IPC,20Y,4.097776471,20180914
390,IPC,25Y,4.085261111,20180914
391,IPC,2M,1.34633871,20180914
392,IPC,2Y,2.05226257,20180914
393,IPC,3MO,1.442352381,20180914
394,IPC,3Y,2.283696774,20180914
395,IPC,4MO,1.561809091,20180914
396,IPC,4Y,2.55948503,20180914
397,IPC,5Y,2.734268627,20180914
398,IPC,6MO,1.606221739,20180914
399,IPC,9MO,1.699604,20180914
400,FS,10Y,6.96978169,20180917
401,FS,15Y,4.93475,20180917
402,FS,18MO,5.20121134,20180917
403,FS,1MO,4.487831088,20180917
404,FS,1Y,4.972688956,20180917
405,FS,2M,4.584069264,20180917
406,FS,2Y,5.68234188,20180917
407,FS,3MO,4.542155172,20180917
408,FS,3Y,6.144432161,20180917
409,FS,4MO,4.68052302,20180917
410,FS,4Y,6.463169492,20180917
411,FS,5Y,6.574912281,20180917
412,FS,6MO,4.793403791,20180917
413,FS,9MO,4.799625806,20180917
414,IB1,18MO,0.847610989,20180917
415,IB1,1MO,0.251092208,20180917
416,IB1,1Y,0.671581352,20180917
417,IB1,2M,0.255070667,20180917
418,IB1,2Y,0.946466165,20180917
419,IB1,3MO,0.398136486,20180917
420,IB1,3Y,1.061395833,20180917
421,IB1,4MO,0.450873611,20180917
422,IB1,6MO,0.537087037,20180917
423,IB1,9MO,0.527074419,20180917
424,IPC,10Y,3.239781443,20180917
425,IPC,15Y,3.879705556,20180917
426,IPC,18MO,1.820465328,20180917
427,IPC,1MO,1.326776316,20180917
428,IPC,1Y,1.698605263,20180917
429,IPC,20Y,4.109929412,20180917
430,IPC,25Y,4.096644444,20180917
431,IPC,2M,1.361363492,20180917
432,IPC,2Y,2.113798889,20180917
433,IPC,3MO,1.509021429,20180917
434,IPC,3Y,2.253762366,20180917
435,IPC,4MO,1.612935897,20180917
436,IPC,4Y,2.518317365,20180917
437,IPC,5Y,2.691260784,20180917
438,IPC,6MO,1.671773846,20180917
439,IPC,9MO,1.651204762,20180917
440,FS,10Y,6.98356338,20180918
441,FS,15Y,4.92575,20180918
442,FS,18MO,5.193541026,20180918
443,FS,1MO,4.479808943,20180918
444,FS,1Y,4.995544436,20180918
445,FS,2M,4.585136714,20180918
446,FS,2Y,5.669396624,20180918
447,FS,3MO,4.539407047,20180918
448,FS,3Y,6.063733668,20180918
449,FS,4MO,4.685480663,20180918
450,FS,4Y,6.462144068,20180918
451,FS,5Y,6.561105263,20180918
452,FS,6MO,4.801823869,20180918
453,FS,9MO,4.818060976,20180918
454,IB1,18MO,0.828513869,20180918
455,IB1,1MO,0.173940506,20180918
456,IB1,1Y,0.638466802,20180918
457,IB1,2M,0.2421225,20180918
458,IB1,2Y,0.933733824,20180918
459,IB1,3MO,0.343658209,20180918
460,IB1,3Y,1.055458333,20180918
461,IB1,4MO,0.388514667,20180918
462,IB1,6MO,0.484701852,20180918
463,IB1,9MO,0.483242529,20180918
464,IPC,10Y,3.219879897,20180918
465,IPC,15Y,3.845674074,20180918
466,IPC,18MO,1.828966426,20180918
467,IPC,1MO,1.345735897,20180918
468,IPC,1Y,1.715047399,20180918
469,IPC,20Y,4.070758824,20180918
470,IPC,25Y,4.065338889,20180918
471,IPC,2M,1.3788,20180918
472,IPC,2Y,2.117473889,20180918
473,IPC,3MO,1.523605128,20180918
474,IPC,3Y,2.308995652,20180918
475,IPC,4MO,1.6202625,20180918
476,IPC,4Y,2.513424551,20180918
477,IPC,5Y,2.689931373,20180918
478,IPC,6MO,1.679845736,20180918
479,IPC,9MO,1.667152381,20180918
480,FS,10Y,6.989401408,20180919
481,FS,15Y,4.9585,20180919
482,FS,18MO,5.17351928,20180919
483,FS,1MO,4.474898204,20180919
484,FS,1Y,4.981672427,20180919
485,FS,2M,4.544579793,20180919
486,FS,2Y,5.627894068,20180919
487,FS,3MO,4.525311475,20180919
488,FS,3Y,6.089025126,20180919
489,FS,4MO,4.66428757,20180919
490,FS,4Y,6.448720339,20180919
491,FS,5Y,6.536701754,20180919
492,FS,6MO,4.764101338,20180919
493,FS,9MO,4.805851515,20180919
494,IB1,18MO,0.824368364,20180919
495,IB1,1MO,0.170033333,20180919
496,IB1,1Y,0.633301829,20180919
497,IB1,2M,0.239804938,20180919
498,IB1,2Y,0.932617647,20180919
499,IB1,3MO,0.338452239,20180919
500,IB1,3Y,1.019441667,20180919
501,IB1,4MO,0.378713514,20180919
502,IB1,6MO,0.472411163,20180919
503,IB1,9MO,0.473735955,20180919
504,IPC,10Y,3.202268557,20180919
505,IPC,15Y,3.85662963,20180919
506,IPC,18MO,1.812378417,20180919
507,IPC,1MO,1.288239535,20180919
508,IPC,1Y,1.671222899,20180919
509,IPC,20Y,4.074764706,20180919
510,IPC,25Y,4.053694444,20180919
511,IPC,2M,1.317794828,20180919
512,IPC,2Y,2.11483352,20180919
513,IPC,3MO,1.4603425,20180919
514,IPC,3Y,2.282103226,20180919
515,IPC,4MO,1.559930952,20180919
516,IPC,4Y,2.507964072,20180919
517,IPC,5Y,2.588416,20180919
518,IPC,6MO,1.620773016,20180919
519,IPC,9MO,1.624091667,20180919
520,FS,10Y,7.003507042,20180920
521,FS,15Y,4.9515,20180920
522,FS,18MO,5.155043367,20180920
523,FS,1MO,4.44178942,20180920
524,FS,1Y,5.002770281,20180920
525,FS,2M,4.552178409,20180920
526,FS,2Y,5.615234043,20180920
527,FS,3MO,4.54387052,20180920
528,FS,3Y,6.113126263,20180920
529,FS,4MO,4.639141243,20180920
530,FS,4Y,6.469186441,20180920
531,FS,5Y,6.545421053,20180920
532,FS,6MO,4.733380268,20180920
533,FS,9MO,4.812936232,20180920
534,IB1,18MO,0.796527174,20180920
535,IB1,1MO,0.204784615,20180920
536,IB1,1Y,0.63757621,20180920
537,IB1,2M,0.32047439,20180920
538,IB1,2Y,0.890793478,20180920
539,IB1,3MO,0.370715625,20180920
540,IB1,3Y,0.958775,20180920
541,IB1,4MO,0.416507229,20180920
542,IB1,6MO,0.499746117,20180920
543,IB1,9MO,0.493341304,20180920
544,IPC,10Y,3.253472165,20180920
545,IPC,15Y,3.862501852,20180920
546,IPC,18MO,1.807842143,20180920
547,IPC,1MO,1.223593182,20180920
548,IPC,1Y,1.65201971,20180920
549,IPC,20Y,4.086776471,20180920
550,IPC,25Y,4.062444444,20180920
551,IPC,2M,1.277084211,20180920
552,IPC,2Y,2.094939773,20180920
553,IPC,3MO,1.417475,20180920
554,IPC,3Y,2.272767742,20180920
555,IPC,4MO,1.516977778,20180920
556,IPC,4Y,2.478476048,20180920
557,IPC,5Y,2.70439,20180920
558,IPC,6MO,1.58565935,20180920
559,IPC,9MO,1.589107407,20180920
560,FS,10Y,7.021056338,20180921
561,FS,15Y,4.939,20180921
562,FS,18MO,5.134126263,20180921
563,FS,1MO,4.409237395,20180921
564,FS,1Y,4.954672466,20180921
565,FS,2M,4.458480315,20180921
566,FS,2Y,5.572973913,20180921
567,FS,3MO,4.516677273,20180921
568,FS,3Y,6.088717172,20180921
569,FS,4MO,4.652956274,20180921
570,FS,4Y,6.447621849,20180921
571,FS,5Y,6.552357143,20180921
572,FS,6MO,4.763518095,20180921
573,FS,9MO,4.74992219,20180921
574,IB1,18MO,0.800581429,20180921
575,IB1,1MO,0.111540541,20180921
576,IB1,1Y,0.59909,20180921
577,IB1,2M,0.232055,20180921
578,IB1,2Y,0.903524638,20180921
579,IB1,3MO,0.287912121,20180921
580,IB1,3Y,0.98798,20180921
581,IB1,4MO,0.338924096,20180921
582,IB1,6MO,0.428752683,20180921
583,IB1,9MO,0.434098925,20180921
584,IPC,10Y,3.232398454,20180921
585,IPC,15Y,3.850733333,20180921
586,IPC,18MO,1.794693214,20180921
587,IPC,1MO,1.137441304,20180921
588,IPC,1Y,1.614163873,20180921
589,IPC,20Y,4.080694118,20180921
590,IPC,25Y,4.073594444,20180921
591,IPC,2M,1.272598333,20180921
592,IPC,2Y,2.063799441,20180921
593,IPC,3MO,1.338469444,20180921
594,IPC,3Y,2.247198913,20180921
595,IPC,4MO,1.455734,20180921
596,IPC,4Y,2.509609524,20180921
597,IPC,5Y,2.688,20180921
598,IPC,6MO,1.527624786,20180921
599,IPC,9MO,1.523039286,20180921
600,FS,10Y,7.061816901,20180924
601,FS,15Y,4.9515,20180924
602,FS,18MO,5.146440506,20180924
603,FS,1MO,4.463517912,20180924
604,FS,1Y,4.962407634,20180924
605,FS,2M,4.5133386,20180924
606,FS,2Y,5.645615385,20180924
607,FS,3MO,4.572500602,20180924
608,FS,3Y,6.070616162,20180924
609,FS,4MO,4.695544762,20180924
610,FS,4Y,6.433504274,20180924
611,FS,5Y,6.577428571,20180924
612,FS,6MO,4.807708015,20180924
613,FS,9MO,4.784712166,20180924
614,IB1,18MO,0.815594755,20180924
615,IB1,1MO,0.167477922,20180924
616,IB1,1Y,0.663804829,20180924
617,IB1,2M,0.283474324,20180924
618,IB1,2Y,0.881764885,20180924
619,IB1,3MO,0.350714474,20180924
620,IB1,3Y,0.96706,20180924
621,IB1,4MO,0.391733766,20180924
622,IB1,6MO,0.479359512,20180924
623,IB1,9MO,0.530578889,20180924
624,IPC,10Y,3.220875773,20180924
625,IPC,15Y,3.851487037,20180924
626,IPC,18MO,1.776060573,20180924
627,IPC,1MO,1.233306897,20180924
628,IPC,1Y,1.609246974,20180924
629,IPC,20Y,4.105482353,20180924
630,IPC,25Y,4.10915,20180924
631,IPC,2M,1.346776923,20180924
632,IPC,2Y,2.031507143,20180924
633,IPC,3MO,1.397696552,20180924
634,IPC,3Y,2.269882022,20180924
635,IPC,4MO,1.49534127,20180924
636,IPC,4Y,2.526405389,20180924
637,IPC,5Y,2.658584,20180924
638,IPC,6MO,1.578221495,20180924
639,IPC,9MO,1.517318519,20180924
640,FS,10Y,7.064133803,20180925
641,FS,15Y,4.96625,20180925
642,FS,18MO,5.136852792,20180925
643,FS,1MO,4.449622754,20180925
644,FS,1Y,4.956798033,20180925
645,FS,2M,4.600026467,20180925
646,FS,2Y,5.61464,20180925
647,FS,3MO,4.6002497,20180925
648,FS,3Y,6.039849246,20180925
649,FS,4MO,4.685322404,20180925
650,FS,4Y,6.448017094,20180925
651,FS,5Y,6.567107143,20180925
652,FS,6MO,4.787103682,20180925
653,FS,9MO,4.76948169,20180925
654,IB1,18MO,0.81300173,20180925
655,IB1,1MO,0.211074359,20180925
656,IB1,1Y,0.680810822,20180925
657,IB1,2M,0.329008,20180925
658,IB1,2Y,0.874244286,20180925
659,IB1,3MO,0.400418421,20180925
660,IB1,3Y,0.960276,20180925
661,IB1,4MO,0.439834177,20180925
662,IB1,6MO,0.522351471,20180925
663,IB1,9MO,0.544358696,20180925
664,IPC,10Y,3.196677835,20180925
665,IPC,15Y,3.869561111,20180925
666,IPC,18MO,1.774272857,20180925
667,IPC,1MO,1.318467241,20180925
