,Factor,Nodo,Valor,Fecha
10299,IPC,1Y,1.532124775,20190905
10300,IPC,20Y,3.385014286,20190905
10301,IPC,25Y,3.284352381,20190905
10302,IPC,2M,0.955162338,20190905
10303,IPC,2Y,1.7325,20190905
10304,IPC,3MO,1.063556962,20190905
10305,IPC,3Y,1.796422018,20190905
10306,IPC,4MO,1.109881034,20190905
10307,IPC,4Y,1.938487805,20190905
10308,IPC,5Y,2.073573016,20190905
10309,IPC,6MO,1.174597857,20190905
10310,IPC,9MO,1.319457576,20190905
10311,FS,10Y,6.171839091,20190906
10312,FS,15Y,5.2655,20190906
10313,FS,18MO,5.311267143,20190906
10314,FS,1MO,4.607166232,20190906
10315,FS,1Y,5.152709912,20190906
10316,FS,2M,4.697162358,20190906
10317,FS,2Y,5.492893913,20190906
10318,FS,3MO,4.73694422,20190906
10319,FS,3Y,5.732238318,20190906
10320,FS,4MO,4.831156364,20190906
10321,FS,4Y,5.893107143,20190906
10322,FS,5Y,5.930280488,20190906
10323,FS,6MO,4.938945486,20190906
10324,FS,9MO,5.007362595,20190906
10325,IB1,18MO,0.909132618,20190906
10326,IB1,1MO,0.425449153,20190906
10327,IB1,1Y,0.842363534,20190906
10328,IB1,2M,0.519851948,20190906
10329,IB1,2Y,1.03425,20190906
10330,IB1,3MO,0.473053465,20190906
10331,IB1,3Y,1.18133913,20190906
10332,IB1,4MO,0.508326415,20190906
10333,IB1,5Y,1.18744,20190906
10334,IB1,6MO,0.609372581,20190906
10335,IB1,9MO,0.714723529,20190906
10336,IPC,10Y,2.415702286,20190906
10337,IPC,15Y,2.960650909,20190906
10338,IPC,18MO,1.648182957,20190906
10339,IPC,1MO,0.771085,20190906
10340,IPC,1Y,1.503652561,20190906
10341,IPC,20Y,3.384938095,20190906
10342,IPC,25Y,3.285509524,20190906
10343,IPC,2M,1.009104,20190906
10344,IPC,2Y,1.74235,20190906
10345,IPC,3MO,1.065405952,20190906
10346,IPC,3Y,1.802171689,20190906
10347,IPC,4MO,1.111036066,20190906
10348,IPC,4Y,1.936308642,20190906
10349,IPC,5Y,2.069403175,20190906
10350,IPC,6MO,1.173332331,20190906
10351,IPC,9MO,1.322042424,20190906
10352,FS,10Y,6.20387,20190909
10353,FS,15Y,5.290166667,20190909
10354,FS,18MO,5.319246734,20190909
10355,FS,1MO,4.60537808,20190909
10356,FS,1Y,5.151636082,20190909
10357,FS,2M,4.669029744,20190909
10358,FS,2Y,5.481070175,20190909
10359,FS,3MO,4.73676264,20190909
10360,FS,3Y,5.715944444,20190909
10361,FS,4MO,4.820771267,20190909
10362,FS,4Y,5.913804878,20190909
10363,FS,5Y,5.953243902,20190909
10364,FS,6MO,4.931987531,20190909
10365,FS,9MO,5.000054217,20190909
10366,IB1,18MO,0.921031489,20190909
10367,IB1,1MO,0.427166957,20190909
10368,IB1,1Y,0.840569202,20190909
10369,IB1,2M,0.529029762,20190909
10370,IB1,2Y,1.060419565,20190909
10371,IB1,3MO,0.476987629,20190909
10372,IB1,3Y,1.200627273,20190909
10373,IB1,4MO,0.513136,20190909
10374,IB1,5Y,1.20878,20190909
10375,IB1,6MO,0.620259091,20190909
10376,IB1,9MO,0.700652747,20190909
10377,IPC,10Y,2.428500571,20190909
10378,IPC,15Y,2.995485455,20190909
10379,IPC,18MO,1.657061461,20190909
10380,IPC,1MO,0.782965823,20190909
10381,IPC,1Y,1.523559477,20190909
10382,IPC,20Y,3.423942857,20190909
10383,IPC,25Y,3.396995238,20190909
10384,IPC,2M,0.920284615,20190909
10385,IPC,2Y,1.728178166,20190909
10386,IPC,3MO,1.083798765,20190909
10387,IPC,3Y,1.796544292,20190909
10388,IPC,4MO,1.1276,20190909
10389,IPC,4Y,1.912775,20190909
10390,IPC,5Y,2.091846032,20190909
10391,IPC,6MO,1.180513768,20190909
10392,IPC,9MO,1.319092593,20190909
10393,FS,10Y,6.230286364,20190910
10394,FS,15Y,5.315666667,20190910
10395,FS,18MO,5.322245337,20190910
10396,FS,1MO,4.619155963,20190910
10397,FS,1Y,5.15532487,20190910
10398,FS,2M,4.669548626,20190910
10399,FS,2Y,5.481917254,20190910
10400,FS,3MO,4.726686546,20190910
10401,FS,3Y,5.717603687,20190910
10402,FS,4MO,4.813410749,20190910
10403,FS,4Y,5.928219512,20190910
10404,FS,5Y,5.929231707,20190910
10405,FS,6MO,4.933574028,20190910
10406,FS,9MO,5.000106931,20190910
10407,IB1,18MO,0.905691026,20190910
10408,IB1,1MO,0.411136283,20190910
10409,IB1,1Y,0.810092748,20190910
10410,IB1,2M,0.520381176,20190910
10411,IB1,2Y,1.04654433,20190910
10412,IB1,3MO,0.462648936,20190910
10413,IB1,3Y,1.207240909,20190910
10414,IB1,4MO,0.500390196,20190910
10415,IB1,5Y,1.22716,20190910
10416,IB1,6MO,0.610691919,20190910
10417,IB1,9MO,0.710897849,20190910
10418,IPC,10Y,2.459086286,20190910
10419,IPC,15Y,3.040207273,20190910
10420,IPC,18MO,1.627499751,20190910
10421,IPC,1MO,0.768030864,20190910
10422,IPC,1Y,1.510174675,20190910
10423,IPC,20Y,3.476909524,20190910
10424,IPC,25Y,3.478566667,20190910
10425,IPC,2M,0.918028,20190910
10426,IPC,2Y,1.724592609,20190910
10427,IPC,3MO,1.06961375,20190910
10428,IPC,3Y,1.786252294,20190910
10429,IPC,4MO,1.10225614,20190910
10430,IPC,4Y,1.91909875,20190910
10431,IPC,5Y,2.112504762,20190910
10432,IPC,6MO,1.160574638,20190910
10433,IPC,9MO,1.295837037,20190910
10434,FS,10Y,6.166236364,20190911
10435,FS,15Y,5.272166667,20190911
10436,FS,18MO,5.301186416,20190911
10437,FS,1MO,4.601850498,20190911
10438,FS,1Y,5.135797403,20190911
10439,FS,2M,4.579601307,20190911
10440,FS,2Y,5.469730496,20190911
10441,FS,3MO,4.650413652,20190911
10442,FS,3Y,5.707387097,20190911
10443,FS,4MO,4.79248008,20190911
10444,FS,4Y,5.85302439,20190911
10445,FS,5Y,5.906804878,20190911
10446,FS,6MO,4.917904564,20190911
10447,FS,9MO,4.979092157,20190911
10448,IB1,18MO,0.824197436,20190911
10449,IB1,1MO,0.344865517,20190911
10450,IB1,1Y,0.809551145,20190911
10451,IB1,2M,0.433310976,20190911
10452,IB1,2Y,1.038367347,20190911
10453,IB1,3MO,0.372225263,20190911
10454,IB1,3Y,1.131495455,20190911
10455,IB1,4MO,0.413284,20190911
10456,IB1,5Y,1.15922,20190911
10457,IB1,6MO,0.526562626,20190911
10458,IB1,9MO,0.674707527,20190911
10459,IPC,10Y,2.394320571,20190911
10460,IPC,15Y,2.987067273,20190911
10461,IPC,18MO,1.627073632,20190911
10462,IPC,1MO,0.684762025,20190911
10463,IPC,1Y,1.461098498,20190911
10464,IPC,20Y,3.407638095,20190911
10465,IPC,25Y,3.434004762,20190911
10466,IPC,2M,0.87414,20190911
10467,IPC,2Y,1.706883043,20190911
10468,IPC,3MO,0.980304878,20190911
10469,IPC,3Y,1.767475799,20190911
10470,IPC,4MO,1.016543548,20190911
10471,IPC,4Y,1.880337975,20190911
10472,IPC,5Y,2.087163492,20190911
10473,IPC,6MO,1.077889231,20190911
10474,IPC,9MO,1.187051852,20190911
10475,FS,10Y,6.124763964,20190912
10476,FS,15Y,5.235,20190912
10477,FS,18MO,5.292766234,20190912
10478,FS,1MO,4.59703056,20190912
10479,FS,1Y,5.130974039,20190912
10480,FS,2M,4.61779978,20190912
10481,FS,2Y,5.444214286,20190912
10482,FS,3MO,4.652228956,20190912
10483,FS,3Y,5.693631336,20190912
10484,FS,4MO,4.782033597,20190912
10485,FS,4Y,5.816865854,20190912
10486,FS,5Y,5.875256098,20190912
10487,FS,6MO,4.911633884,20190912
10488,FS,9MO,4.987324376,20190912
10489,IB1,18MO,0.782365948,20190912
10490,IB1,1MO,0.288201709,20190912
10491,IB1,1Y,0.800881467,20190912
10492,IB1,2M,0.385988889,20190912
10493,IB1,2Y,0.999596,20190912
10494,IB1,3MO,0.322804211,20190912
10495,IB1,3Y,1.095381818,20190912
10496,IB1,4MO,0.482551923,20190912
10497,IB1,5Y,1.13038,20190912
10498,IB1,6MO,0.616369036,20190912
10499,IB1,9MO,0.654497917,20190912
10500,IPC,10Y,2.367443429,20190912
10501,IPC,15Y,2.969047273,20190912
10502,IPC,18MO,1.610939259,20190912
10503,IPC,1MO,0.763025,20190912
10504,IPC,1Y,1.415087021,20190912
10505,IPC,20Y,3.391785714,20190912
10506,IPC,25Y,3.419828571,20190912
10507,IPC,2M,0.827086486,20190912
10508,IPC,2Y,1.69177735,20190912
10509,IPC,3MO,0.930036471,20190912
10510,IPC,3Y,1.754184091,20190912
10511,IPC,4MO,0.964377966,20190912
10512,IPC,4Y,1.843803846,20190912
10513,IPC,5Y,2.049025397,20190912
10514,IPC,6MO,1.02715969,20190912
10515,IPC,9MO,1.141819231,20190912
10516,FS,10Y,6.138596364,20190913
10517,FS,15Y,5.252166667,20190913
10518,FS,18MO,5.284778887,20190913
10519,FS,1MO,4.587272727,20190913
10520,FS,1Y,5.121983411,20190913
10521,FS,2M,4.650314115,20190913
10522,FS,2Y,5.419981917,20190913
10523,FS,3MO,4.655794326,20190913
10524,FS,3Y,5.678807339,20190913
10525,FS,4MO,4.778890438,20190913
10526,FS,4Y,5.823756098,20190913
10527,FS,5Y,5.902060976,20190913
10528,FS,6MO,4.906555192,20190913
10529,FS,9MO,4.9787154,20190913
10530,IB1,18MO,0.934847368,20190913
10531,IB1,1MO,0.206932143,20190913
10532,IB1,1Y,0.81599313,20190913
10533,IB1,2M,0.388634568,20190913
10534,IB1,2Y,1.014791176,20190913
10535,IB1,3MO,0.449369608,20190913
10536,IB1,3Y,1.106381818,20190913
10537,IB1,4MO,0.540166667,20190913
10538,IB1,5Y,1.14584,20190913
10539,IB1,6MO,0.632878061,20190913
10540,IB1,9MO,0.714977083,20190913
10541,IPC,10Y,2.370353714,20190913
10542,IPC,15Y,2.978069091,20190913
10543,IPC,18MO,1.660012407,20190913
10544,IPC,1MO,0.755055556,20190913
10545,IPC,1Y,1.411868211,20190913
10546,IPC,20Y,3.411547619,20190913
10547,IPC,25Y,3.44012381,20190913
10548,IPC,2M,0.820662162,20190913
10549,IPC,2Y,1.694604938,20190913
10550,IPC,3MO,0.937818391,20190913
10551,IPC,3Y,1.74091448,20190913
10552,IPC,4MO,0.961567241,20190913
10553,IPC,4Y,1.849836842,20190913
10554,IPC,5Y,2.057412698,20190913
10555,IPC,6MO,1.025830827,20190913
10556,IPC,9MO,1.1595125,20190913
10557,FS,10Y,6.136610092,20190916
10558,FS,15Y,5.244833333,20190916
10559,FS,18MO,5.278773392,20190916
10560,FS,1MO,4.559084545,20190916
10561,FS,1Y,5.112105046,20190916
10562,FS,2M,4.685154569,20190916
10563,FS,2Y,5.433934307,20190916
10564,FS,3MO,4.637500822,20190916
10565,FS,3Y,5.667194444,20190916
10566,FS,4MO,4.75755625,20190916
10567,FS,4Y,5.81195122,20190916
10568,FS,5Y,5.880317073,20190916
10569,FS,6MO,4.889645032,20190916
10570,FS,9MO,4.973493776,20190916
10571,IB1,18MO,0.898532301,20190916
10572,IB1,1MO,0.192557944,20190916
10573,IB1,1Y,0.798870896,20190916
10574,IB1,2M,0.370598947,20190916
10575,IB1,2Y,0.989208911,20190916
10576,IB1,3MO,0.432011957,20190916
10577,IB1,3Y,1.093681818,20190916
10578,IB1,4MO,0.545397561,20190916
10579,IB1,5Y,1.13714,20190916
10580,IB1,6MO,0.630240488,20190916
10581,IB1,9MO,0.697652874,20190916
10582,IPC,10Y,2.367378161,20190916
10583,IPC,15Y,2.972385455,20190916
10584,IPC,18MO,1.61862954,20190916
10585,IPC,1MO,0.75914507,20190916
10586,IPC,1Y,1.391716736,20190916
10587,IPC,20Y,3.408157143,20190916
10588,IPC,25Y,3.437761905,20190916
10589,IPC,2M,0.794506579,20190916
10590,IPC,2Y,1.660045763,20190916
10591,IPC,3MO,0.904861798,20190916
10592,IPC,3Y,1.722595023,20190916
10593,IPC,4MO,1.100026531,20190916
10594,IPC,4Y,1.831673684,20190916
10595,IPC,5Y,2.070107813,20190916
10596,IPC,6MO,1.159467832,20190916
10597,IPC,9MO,1.20861875,20190916
10598,FS,10Y,6.11376789,20190917
10599,FS,15Y,5.237,20190917
10600,FS,18MO,5.264219653,20190917
10601,FS,1MO,4.444147541,20190917
10602,FS,1Y,5.09731452,20190917
10603,FS,2M,4.632444828,20190917
10604,FS,2Y,5.442457038,20190917
10605,FS,3MO,4.657300573,20190917
10606,FS,3Y,5.643527778,20190917
10607,FS,4MO,4.751732777,20190917
10608,FS,4Y,5.780707317,20190917
10609,FS,5Y,5.86345122,20190917
10610,FS,6MO,4.879734921,20190917
10611,FS,9MO,4.960266094,20190917
10612,IB1,18MO,0.872978125,20190917
10613,IB1,1MO,0.198663551,20190917
10614,IB1,1Y,0.77013197,20190917
10615,IB1,2M,0.320814433,20190917
10616,IB1,2Y,0.97245098,20190917
10617,IB1,3MO,0.386368182,20190917
10618,IB1,3Y,1.060495455,20190917
10619,IB1,4MO,0.5242075,20190917
10620,IB1,5Y,1.11498,20190917
10621,IB1,6MO,0.614662802,20190917
10622,IB1,9MO,0.683061628,20190917
10623,IPC,10Y,2.364279885,20190917
10624,IPC,15Y,2.972916364,20190917
10625,IPC,18MO,1.598830622,20190917
10626,IPC,1MO,0.693890278,20190917
10627,IPC,1Y,1.375474741,20190917
10628,IPC,20Y,3.420028571,20190917
10629,IPC,25Y,3.456271429,20190917
10630,IPC,2M,0.788112821,20190917
10631,IPC,2Y,1.677094872,20190917
10632,IPC,3MO,0.85426,20190917
10633,IPC,3Y,1.6835181,20190917
10634,IPC,4MO,1.015809804,20190917
10635,IPC,4Y,1.8426,20190917
10636,IPC,5Y,2.046103125,20190917
10637,IPC,6MO,1.095162411,20190917
10638,IPC,9MO,1.153505556,20190917
10639,FS,10Y,6.108062385,20190918
10640,FS,15Y,5.232,20190918
10641,FS,18MO,5.253514451,20190918
10642,FS,1MO,4.496746047,20190918
10643,FS,1Y,5.089160861,20190918
10644,FS,2M,4.622084201,20190918
10645,FS,2Y,5.44591042,20190918
10646,FS,3MO,4.658158626,20190918
10647,FS,3Y,5.620577982,20190918
10648,FS,4MO,4.785395626,20190918
10649,FS,4Y,5.773560976,20190918
10650,FS,5Y,5.761096386,20190918
10651,FS,6MO,4.914045968,20190918
10652,FS,9MO,4.935173077,20190918
10653,IB1,18MO,0.859010268,20190918
10654,IB1,1MO,0.263796296,20190918
10655,IB1,1Y,0.768270677,20190918
10656,IB1,2M,0.477759574,20190918
10657,IB1,2Y,0.964504902,20190918
10658,IB1,3MO,0.381417442,20190918
10659,IB1,3Y,1.052695455,20190918
10660,IB1,4MO,0.530285106,20190918
10661,IB1,5Y,1.10894,20190918
10662,IB1,6MO,0.617692157,20190918
10663,IB1,9MO,0.677390698,20190918
10664,IPC,10Y,2.360408,20190918
10665,IPC,15Y,2.968401818,20190918
10666,IPC,18MO,1.568411164,20190918
10667,IPC,1MO,0.67750411,20190918
10668,IPC,1Y,1.363544672,20190918
10669,IPC,20Y,3.417047619,20190918
10670,IPC,25Y,3.454057143,20190918
10671,IPC,2M,0.768775,20190918
10672,IPC,2Y,1.650394492,20190918
10673,IPC,3MO,0.840854217,20190918
10674,IPC,3Y,1.695202252,20190918
10675,IPC,4MO,1.00152,20190918
10676,IPC,4Y,1.832423684,20190918
10677,IPC,5Y,2.015540625,20190918
10678,IPC,6MO,1.081973723,20190918
10679,IPC,9MO,1.137515,20190918
10680,FS,10Y,6.108594495,20190919
10681,FS,15Y,5.228166667,20190919
10682,FS,18MO,5.250968481,20190919
10683,FS,1MO,4.484177498,20190919
10684,FS,1Y,5.065054592,20190919
10685,FS,2M,4.616373374,20190919
10686,FS,2Y,5.454941284,20190919
10687,FS,3MO,4.642719444,20190919
10688,FS,3Y,5.616542222,20190919
10689,FS,4MO,4.779951076,20190919
10690,FS,4Y,5.770780488,20190919
10691,FS,5Y,5.85873494,20190919
10692,FS,6MO,4.911724719,20190919
10693,FS,9MO,4.926297357,20190919
10694,IB1,18MO,0.846875785,20190919
10695,IB1,1MO,0.25417619,20190919
10696,IB1,1Y,0.76217218,20190919
10697,IB1,2M,0.465406452,20190919
10698,IB1,2Y,0.958057426,20190919
10699,IB1,3MO,0.390288372,20190919
10700,IB1,3Y,1.063186364,20190919
10701,IB1,4MO,0.521220408,20190919
10702,IB1,5Y,1.10792,20190919
10703,IB1,6MO,0.607437745,20190919
10704,IB1,9MO,0.668885057,20190919
10705,IPC,10Y,2.359057714,20190919
10706,IPC,15Y,2.973823636,20190919
10707,IPC,18MO,1.579338588,20190919
10708,IPC,1MO,0.704445833,20190919
10709,IPC,1Y,1.344905906,20190919
10710,IPC,20Y,3.424885714,20190919
10711,IPC,25Y,3.48972381,20190919
10712,IPC,2M,0.670140541,20190919
10713,IPC,2Y,1.65961125,20190919
10714,IPC,3MO,0.836738636,20190919
10715,IPC,3Y,1.711917857,20190919
10716,IPC,4MO,0.997324,20190919
10717,IPC,4Y,1.851901333,20190919
10718,IPC,5Y,2.011775,20190919
10719,IPC,6MO,1.06693741,20190919
10720,IPC,9MO,1.13413,20190919
10721,FS,10Y,6.085222018,20190920
10722,FS,15Y,5.208,20190920
10723,FS,18MO,5.249183381,20190920
10724,FS,1MO,4.449422222,20190920
10725,FS,1Y,5.08654154,20190920
10726,FS,2M,4.618859925,20190920
10727,FS,2Y,5.438484404,20190920
10728,FS,3MO,4.641796452,20190920
10729,FS,3Y,5.595806167,20190920
10730,FS,4MO,4.795574757,20190920
10731,FS,4Y,5.764902439,20190920
10732,FS,5Y,5.832120482,20190920
10733,FS,6MO,4.940859524,20190920
10734,FS,9MO,4.974079625,20190920
10735,IB1,18MO,0.816969863,20190920
10736,IB1,1MO,0.242910784,20190920
10737,IB1,1Y,0.747556343,20190920
10738,IB1,2M,0.432301075,20190920
10739,IB1,2Y,0.963106863,20190920
10740,IB1,3MO,0.351147561,20190920
10741,IB1,3Y,1.140381818,20190920
10742,IB1,4MO,0.557218519,20190920
10743,IB1,5Y,1.08392,20190920
10744,IB1,6MO,0.650444059,20190920
10745,IB1,9MO,0.660189655,20190920
10746,IPC,10Y,2.335346286,20190920
10747,IPC,15Y,2.952230909,20190920
10748,IPC,18MO,1.546826714,20190920
10749,IPC,1MO,0.71573,20190920
10750,IPC,1Y,1.330157287,20190920
10751,IPC,20Y,3.405314286,20190920
10752,IPC,25Y,3.470057143,20190920
10753,IPC,2M,0.811225,20190920
10754,IPC,2Y,1.664057143,20190920
10755,IPC,3MO,0.805695294,20190920
10756,IPC,3Y,1.713091556,20190920
10757,IPC,4MO,0.990815094,20190920
10758,IPC,4Y,1.835912,20190920
10759,IPC,5Y,2.003740625,20190920
10760,IPC,6MO,1.077653623,20190920
10761,IPC,9MO,1.108855,20190920
10762,FS,10Y,6.060575229,20190923
10763,FS,15Y,5.176666667,20190923
10764,FS,18MO,5.282456772,20190923
10765,FS,1MO,4.484790598,20190923
10766,FS,1Y,5.102172309,20190923
10767,FS,2M,4.608541944,20190923
10768,FS,2Y,5.439242537,20190923
10769,FS,3MO,4.724280405,20190923
10770,FS,3Y,5.598742358,20190923
10771,FS,4MO,4.804241597,20190923
10772,FS,4Y,5.743160494,20190923
10773,FS,5Y,5.809518072,20190923
10774,FS,6MO,4.921727202,20190923
10775,FS,9MO,4.9695,20190923
10776,IB1,18MO,0.871994907,20190923
10777,IB1,1MO,0.222544118,20190923
10778,IB1,1Y,0.727491418,20190923
10779,IB1,2M,0.412029703,20190923
10780,IB1,2Y,0.982398058,20190923
10781,IB1,3MO,0.336756579,20190923
10782,IB1,3Y,1.130473913,20190923
10783,IB1,4MO,0.546417308,20190923
10784,IB1,5Y,1.0634,20190923
10785,IB1,6MO,0.62018301,20190923
10786,IB1,9MO,0.645532927,20190923
10787,IPC,10Y,2.310406857,20190923
10788,IPC,15Y,2.926596364,20190923
10789,IPC,18MO,1.589480516,20190923
10790,IPC,1MO,0.710213514,20190923
10791,IPC,1Y,1.353102405,20190923
10792,IPC,20Y,3.379504762,20190923
10793,IPC,25Y,3.444557143,20190923
10794,IPC,2M,0.746066234,20190923
10795,IPC,2Y,1.650018595,20190923
10796,IPC,3MO,0.895153659,20190923
10797,IPC,3Y,1.734704018,20190923
10798,IPC,4MO,0.983957692,20190923
10799,IPC,4Y,1.811694667,20190923
10800,IPC,5Y,1.989839063,20190923
10801,IPC,6MO,1.053246667,20190923
10802,IPC,9MO,1.087109524,20190923
10803,FS,10Y,6.057587156,20190924
10804,FS,15Y,5.187666667,20190924
10805,FS,18MO,5.255075931,20190924
10806,FS,1MO,4.451357367,20190924
10807,FS,1Y,5.102586538,20190924
10808,FS,2M,4.618453262,20190924
10809,FS,2Y,5.462432282,20190924
10810,FS,3MO,4.733374578,20190924
10811,FS,3Y,5.610266376,20190924
10812,FS,4MO,4.835264344,20190924
10813,FS,4Y,5.744296296,20190924
10814,FS,5Y,5.77726506,20190924
10815,FS,6MO,4.933869804,20190924
10816,FS,9MO,4.971281796,20190924
10817,IB1,18MO,0.87939763,20190924
10818,IB1,1MO,0.19696699,20190924
10819,IB1,1Y,0.754833083,20190924
10820,IB1,2M,0.422442268,20190924
10821,IB1,2Y,0.962698113,20190924
10822,IB1,3MO,0.337975342,20190924
10823,IB1,3Y,1.13343913,20190924
10824,IB1,4MO,0.610333333,20190924
10825,IB1,5Y,1.06298,20190924
10826,IB1,6MO,0.681661463,20190924
10827,IB1,9MO,0.671841111,20190924
10828,IPC,10Y,2.31306,20190924
10829,IPC,15Y,2.918150909,20190924
10830,IPC,18MO,1.568912881,20190924
10831,IPC,1MO,0.743739744,20190924
10832,IPC,1Y,1.36216004,20190924
10833,IPC,20Y,3.370719048,20190924
10834,IPC,25Y,3.436128571,20190924
10835,IPC,2M,0.83399589,20190924
10836,IPC,2Y,1.646903265,20190924
10837,IPC,3MO,0.90230625,20190924
10838,IPC,3Y,1.706798222,20190924
10839,IPC,4MO,1.021046296,20190924
10840,IPC,4Y,1.809408,20190924
10841,IPC,5Y,1.985892188,20190924
10842,IPC,6MO,1.091359398,20190924
10843,IPC,9MO,1.086048,20190924
10844,FS,10Y,6.075195413,20190925
10845,FS,15Y,5.1915,20190925
10846,FS,18MO,5.262496454,20190925
10847,FS,1MO,4.469326904,20190925
10848,FS,1Y,5.104611533,20190925
10849,FS,2M,4.625615646,20190925
10850,FS,2Y,5.474840741,20190925
10851,FS,3MO,4.754256354,20190925
10852,FS,3Y,5.599150215,20190925
10853,FS,4MO,4.825758755,20190925
10854,FS,4Y,5.763963415,20190925
10855,FS,5Y,5.769964706,20190925
10856,FS,6MO,4.926932663,20190925
10857,FS,9MO,4.971135468,20190925
10858,IB1,18MO,0.858901923,20190925
10859,IB1,1MO,0.2202875,20190925
10860,IB1,1Y,0.77381903,20190925
10861,IB1,2M,0.301320652,20190925
10862,IB1,2Y,0.984613208,20190925
10863,IB1,3MO,0.361310959,20190925
10864,IB1,3Y,1.155895652,20190925
10865,IB1,4MO,0.621408475,20190925
10866,IB1,5Y,1.0835,20190925
10867,IB1,6MO,0.70198599,20190925
10868,IB1,9MO,0.681477011,20190925
10869,IPC,10Y,2.270918391,20190925
10870,IPC,15Y,2.931487273,20190925
10871,IPC,18MO,1.538184186,20190925
10872,IPC,1MO,0.750941772,20190925
10873,IPC,1Y,1.392978656,20190925
10874,IPC,20Y,3.38227619,20190925
10875,IPC,25Y,3.446395238,20190925
10876,IPC,2M,0.866383562,20190925
10877,IPC,2Y,1.648573663,20190925
10878,IPC,3MO,0.916090909,20190925
10879,IPC,3Y,1.713658667,20190925
10880,IPC,4MO,1.020568421,20190925
10881,IPC,4Y,1.827948,20190925
10882,IPC,5Y,2.003890769,20190925
10883,IPC,6MO,1.09627,20190925
10884,IPC,9MO,1.204555556,20190925
10885,FS,10Y,6.044354545,20190926
10886,FS,15Y,5.158666667,20190926
10887,FS,18MO,5.278109065,20190926
10888,FS,1MO,4.450641079,20190926
10889,FS,1Y,5.096827481,20190926
10890,FS,2M,4.637829538,20190926
10891,FS,2Y,5.440948244,20190926
10892,FS,3MO,4.743702768,20190926
10893,FS,3Y,5.569704641,20190926
10894,FS,4MO,4.822650735,20190926
10895,FS,4Y,5.65702439,20190926
10896,FS,5Y,5.780847059,20190926
10897,FS,6MO,4.929355906,20190926
10898,FS,9MO,4.977823529,20190926
10899,IB1,18MO,0.842443137,20190926
10900,IB1,1MO,0.367294059,20190926
10901,IB1,1Y,0.736792884,20190926
10902,IB1,2M,0.289730435,20190926
10903,IB1,2Y,1.024066355,20190926
10904,IB1,3MO,0.342516901,20190926
10905,IB1,3Y,1.137004348,20190926
10906,IB1,4MO,0.592827419,20190926
10907,IB1,5Y,1.0655,20190926
10908,IB1,6MO,0.684864734,20190926
10909,IB1,9MO,0.670970787,20190926
10910,IPC,10Y,2.251909195,20190926
10911,IPC,15Y,2.794403571,20190926
10912,IPC,18MO,1.566282751,20190926
10913,IPC,1MO,0.72986375,20190926
10914,IPC,1Y,1.379219802,20190926
10915,IPC,20Y,3.359547619,20190926
10916,IPC,25Y,3.423995238,20190926
10917,IPC,2M,0.792414085,20190926
10918,IPC,2Y,1.638137903,20190926
10919,IPC,3MO,0.886883117,20190926
10920,IPC,3Y,1.692830088,20190926
10921,IPC,4MO,0.994080702,20190926
10922,IPC,4Y,1.809291781,20190926
10923,IPC,5Y,1.981840909,20190926
10924,IPC,6MO,1.074268217,20190926
10925,IPC,9MO,1.182456667,20190926
10926,FS,10Y,6.078421818,20190927
10927,FS,15Y,5.186,20190927
10928,FS,18MO,5.253652051,20190927
10929,FS,1MO,4.494146341,20190927
10930,FS,1Y,5.106563971,20190927
10931,FS,2M,4.656471539,20190927
10932,FS,2Y,5.425738889,20190927
10933,FS,3MO,4.787888493,20190927
10934,FS,3Y,5.563548523,20190927
10935,FS,4MO,4.822356061,20190927
10936,FS,4Y,5.697864198,20190927
10937,FS,5Y,5.760117647,20190927
10938,FS,6MO,4.921330211,20190927
10939,FS,9MO,4.983286385,20190927
10940,IB1,18MO,0.84382069,20190927
10941,IB1,1MO,0.17949375,20190927
10942,IB1,1Y,0.759779026,20190927
10943,IB1,2M,0.332079121,20190927
10944,IB1,2Y,1.030212037,20190927
10945,IB1,3MO,0.384354795,20190927
10946,IB1,3Y,1.175926087,20190927
10947,IB1,4MO,0.59661129,20190927
10948,IB1,5Y,1.10106,20190927
10949,IB1,6MO,0.682502392,20190927
10950,IB1,9MO,0.678412644,20190927
10951,IPC,10Y,2.27201092,20190927
10952,IPC,15Y,2.819467857,20190927
10953,IPC,18MO,1.572650935,20190927
10954,IPC,1MO,0.768815584,20190927
10955,IPC,1Y,1.413865545,20190927
10956,IPC,20Y,3.381385714,20190927
10957,IPC,25Y,3.443571429,20190927
10958,IPC,2M,0.816116438,20190927
10959,IPC,2Y,1.6361124,20190927
10960,IPC,3MO,0.922785526,20190927
10961,IPC,3Y,1.727826667,20190927
10962,IPC,4MO,1.045507273,20190927
10963,IPC,4Y,1.83919589,20190927
10964,IPC,5Y,1.98745,20190927
10965,IPC,6MO,1.119864341,20190927
10966,IPC,9MO,1.215334375,20190927
10967,FS,10Y,6.094705455,20190930
10968,FS,15Y,5.199166667,20190930
10969,FS,18MO,5.264228814,20190930
10970,FS,1MO,4.51375641,20190930
10971,FS,1Y,5.107430691,20190930
10972,FS,2M,4.671642857,20190930
10973,FS,2Y,5.434919776,20190930
10974,FS,3MO,4.761458599,20190930
10975,FS,3Y,5.575625532,20190930
10976,FS,4MO,4.787492593,20190930
10977,FS,4Y,5.7512375,20190930
10978,FS,5Y,5.776835294,20190930
10979,FS,6MO,4.893765649,20190930
10980,FS,9MO,4.964350242,20190930
